from	to	why
Assets/Game/Prefabs/Vehicles/{Ship,Rover,RoverNoHierarchy}.prefab (+ .meta)	Assets/Game/Prefabs/Agents/Vehicles/Spacecraft/Ship.prefab and Assets/Game/Prefabs/Agents/Vehicles/Ground/Rover*.prefab, then delete the empty Assets/Game/Prefabs/Vehicles/ folder	There are two parallel vehicle prefab roots. Assets/Game/Prefabs/Agents/Vehicles/ holds 11 prefabs in 5 clean categories (Aircraft, Ground, Mounts, Robotic, Spacecraft); Assets/Game/Prefabs/Vehicles/ holds 3 strays, one of which duplicates a name that already exists in the other tree. Consolidating removes the ambiguity that let three Ship.prefabs coexist in the first place. Note Assets/Game/Prefabs/Vehicles/Ship.prefab is actually a ProBuilder base/landing site (SpawnPoint + ShipInteraction + FMOD emitter, root GameObject named 'Cube'), not a vehicle — so Environment/Structures/ may be the more honest destination. Prefab GUIDs travel with the .meta, so all 7 scene/asset references survive.
Assets/Game/Scripts/Vehicles/Drivers/DesertCrawlerDriver.cs + Assets/Game/Scripts/Vehicles/Tools/{CrawlerToolRig,CrawlerToolModule}.cs	Assets/Game/Scripts/Vehicles/Crawler/ (a sibling of DesertCrawler/, not inside it)	Three crawler-specific files sit in two single-purpose folders named after generic roles. All three must stay OUT of the SpaceGame.Vehicles.Crawler asmdef folder because they depend on Assembly-CSharp types (LeggedDriver, BehaviourModuleBase, AgentContext) and an asmdef cannot reference Assembly-CSharp — that constraint is real and is why the split exists, but it does not require the folders to be named Drivers/ and Tools/. Grouping by machine matches how the rest of the domain is laid out (DuneFoil/, Ornithopter/, Rover/) and deletes two folders that hold one and two files. Type names and namespaces unchanged, so prefab GUID references and the DesertCrawlerBuilder are unaffected.
Assets/Game/Scripts/Vehicles/Stations/{DeckBoarding,DuneFoilHUD,DuneFoilHelm,DuneFoilMooring,DuneFoilRiggingStation}.cs	Assets/Game/Scripts/Vehicles/DuneFoilInteraction/	Five of the six files in Stations/ are DuneFoil-only and two of them are not stations at all — DuneFoilHUD builds a screen-space canvas and DeckBoarding is a teleport-onto-the-deck interactable. They live outside the DuneFoil asmdef for the same Assembly-CSharp reason as the crawler files (IInteractable, PlayerInputManager, WalkerPlatformCarrier), which is a compilation constraint, not a taxonomy. Naming the folder after the vehicle plus the reason it is split makes that constraint self-documenting instead of hiding it behind 'Stations'.
Assets/Game/Scripts/Vehicles/Stations/MountStation.cs + Assets/Game/Scripts/Vehicles/Systems/WalkerPlatformCarrier.cs	Assets/Game/Scripts/Vehicles/Shared/	These are the only two genuinely cross-vehicle components in the domain: MountStation is on HorseRobot, RigWalker and ShipRV (3 prefab refs); WalkerPlatformCarrier is on DesertCrawler, DuneFoil and RigWalker (3 prefab refs). Right now they are buried in buckets alongside single-vehicle code — MountStation next to five DuneFoil files, WalkerPlatformCarrier next to the ShipRV-only VehicleDeploymentController. Isolating them makes the 'do not break this, three vehicles use it' contract visible. WalkerPlatformCarrier is also misnamed: the DuneFoil is not a walker.
Assets/Game/Scripts/Vehicles/Systems/VehicleDeploymentController.cs + Assets/Game/Scripts/Vehicles/Parts/{ArticulatedPart,ArticulatedPartInteraction,ShellVariantSwitcher}.cs	Assets/Game/Scripts/Vehicles/ShipRV/	All four are used by exactly one prefab (Assets/Game/Prefabs/Agents/Vehicles/Spacecraft/ShipRV.prefab, per refs.tsv) and are all created by Assets/Game/Editor/Vehicles/ShipRVBuilder.cs. ArticulatedPart's own header comment already points the reader at ShipRVBuilder.cs. Once VehicleDeploymentController leaves, Systems/ is empty and Parts/ is empty — two more vague buckets gone. Caveat: ArticulatedPart is written as a general door/hatch/wing component, so if a second vehicle is expected to use it, leave it in Shared/ and move only the other three.
Assets/Game/Scripts/Vehicles/Rover/Editor/RoverBogieIKEditor.cs (+ .meta)	Assets/Game/Editor/Vehicles/RoverBogieIKEditor.cs	The repo convention is a single editor root: Assets/Game/Editor/ holds 38 editor scripts including Assets/Game/Editor/Vehicles/{DesertCrawler,DuneFoil,Ornithopter,ShipRV,WingPack}Builder.cs — every other vehicle editor tool is already there. This is the only Editor/ folder under Scripts/Vehicles/. Only worth doing if the Rover survives at all; if the Rover subsystem goes, this file goes with it.
Assets/Game/Scripts/Locomotion/Gait/WalkerGait.cs (+ .meta)	Assets/Game/Scripts/Locomotion/Core/WalkerGait.cs	Locomotion/Gait/ is a folder holding exactly one file. WalkerGait is the gait CLOCK that LeggedLocomotion.Gait.cs drives — it belongs beside the partial that uses it, and the gait POLICIES (who swings when) already live in Locomotion/Policy/GaitPatterns.cs. Two folders named for the same concept is the confusing part. Deletes one folder and its .meta.
Assets/Game/Scripts/Locomotion/Rig/WalkerLimb.cs (+ .meta)	Assets/Game/Scripts/Locomotion/Rig/WalkerRig.Limb.cs	The file declares `public static partial class WalkerRig` — it is a partial of WalkerRig.cs holding the Limb class and LimbRole enum, not a type called WalkerLimb. The filename hides that, and it sits next to genuinely separate types (WalkerLimbGeometry, WalkerLimbSolver) whose names it echoes. Renaming to the .Partial convention the domain already uses for LeggedLocomotion.{Rig,Gait,Body,Ik}.cs makes the split visible. GUID follows the .meta, so no prefab or asset reference moves.
Assets/Game/Scripts/Creatures/Ostrich/OstrichNeckSpring.cs (+ .meta)	Assets/Game/Scripts/Locomotion/Motion/RideSpring.cs	It is the shared second-order ride spring both the ostrich and the horse need (see the HorseRideSpring.cs duplicate removal). Both creature asmdefs already reference SpaceGame.Locomotion, so this is the only place one copy can serve both. Types rename to RideSpring/RideSpringSettings; verified safe because the serialized struct's type name is not written into the prefab YAML.
Assets/Game/Tests/EditMode/WalkerLegPoseTests.cs, WalkerLegSolverTests.cs (+ .metas)	Assets/Game/Tests/EditMode/WalkerLimbPoseTests.cs, WalkerLimbSolverTests.cs	Both filenames are pre-generalisation ('Leg') while the types they test are WalkerLimbPose and WalkerLimbSolver, and the class inside WalkerLegPoseTests.cs is already named `WalkerLimbPoseTests`. Cosmetic, cheap, and it stops a grep for the solver's tests coming up empty. Strictly in the Tests domain — flagging for whoever owns it.
Assets/Game/Scripts/Creatures/{Crab,Horse,Humanoid,Ostrich}/SpaceGame.Creatures.*.asmdef	Assets/Game/Scripts/Creatures/SpaceGame.Creatures.asmdef (one file)	See the asmdef removal row. Four identical one-folder assemblies are what forced the HorseRideSpring clone and the CanterGait GaitLayout copy; merging them is the enabling move for ~330 lines of deletion elsewhere. Note Assets/Game/Scripts/Creatures/Drivers/ must stay OUTSIDE the new asmdef (it needs Assembly-CSharp for IRiderControllable/IMovementMotor) — placing the asmdef at Creatures/ root would capture it, so it must either go in a Creatures/Rigs/ subfolder or Drivers/ must move up to Assets/Game/Scripts/Agents/Drivers/ alongside Vehicles/Drivers/.
Assets/Game/Scenes/World/Chunks/TerrainFeatureBakes/ (42 .asset + 42 .meta, 16 MB)	Assets/Game/Terrain/FeatureBakes/	Generated Mesh assets should not live inside the Scenes tree. 16 MB of baked cliff/mesa meshes are currently a subfolder of the chunk-scenes directory, which is why `find Assets/Game/Scenes/World/Chunks -maxdepth 1` and a naive scene count disagree, and why the folder survives any chunk-scene cleanup by accident. Assets/Game/Terrain/ already holds the other generated terrain payloads (ChunkData/, FerdinandChunkData/), so this is where a reader would look. Unity moves must carry the .meta files; GUIDs are preserved so the 39 referenced meshes stay wired to Chunk_7_0/Chunk_7_1.
Assets/Game/Scripts/World/Streaming/Diagnostics/ChunkStreamingProbe.cs	Assets/Game/Scripts/World/Streaming/Diagnostics/Editor/ChunkStreamingProbe.cs	It is an editor-only tool that currently compiles into the shipped runtime assembly. Every UnityEditor call in it is already wrapped in #if UNITY_EDITOR and it self-installs only when an EditorPrefs flag is set, so it can never run in a player — but the MonoBehaviour class body is not conditionally compiled, so 269 LOC ship for nothing. Its only caller, ChunkStreamingProbeMenu.cs, is already in that Editor/ folder. Moving it there (no asmdef needed — the folder-name convention handles it) removes it from the build and puts the tool and its menu together. Do this instead of deleting if the team wants to keep the ability to re-measure streaming hitches.
Assets/Game/Scripts/World/Environment/Props/Ship.cs	Assets/Game/Scripts/Gameplay/Game/ (alongside GameManager.cs)	Wrong domain. It is not an environment prop — it is the win condition: it counts scrap and calls `GameManager.Instance.WinGame()` at 3. It already imports SpaceGame.Gameplay, its GUID sits on Assets/Game/Prefabs/Vehicles/Ship.prefab (a vehicle, not an environment prop), and its collaborators (ShipInteraction, VehicleDeploymentController, ArticulatedPart, ShellVariantSwitcher) all live outside World/. Keeping objective logic under World/Environment/Props hides the game's only win condition. NOTE the brief's constraint: verify Ship is not used through SerializeReference/UnityEvent before moving between assemblies — it is a plain MonoBehaviour here, and a folder move inside Assembly-CSharp does not change the assembly, so this is low risk.
Assets/Game/Scenes/World/robotsettlement.prefab	delete (see removals) — or Assets/Game/Prefabs/Environment/Structures/ if somehow kept	A .prefab has no business in the Scenes tree; it is the only one there. It is also empty (one GameObject, one Transform, zero refs), so deletion is the right answer and this is listed only in case the user wants to keep the name reserved.
