path	loc	code_refs	guid_refs	flags	types
Assets/Game/Settings/Input/InputControls.cs	2954	0	0		HotbarActions,IHotbarActions,IPlayerActions,IUIActions,PlayerActions,UIActions
Assets/Game/Scripts/Presentation/UI/Map/MapUI.cs	602	0	0		MapUI,MarkerVisual
Assets/Game/Scripts/Presentation/UI/Map/MapPOIController.cs	271	0	0		MapPOIController
Assets/Game/Scripts/World/ProceduralGeneration/Cave/Decoration/PrebuiltDecorationRules.cs	180	0	0		PrebuiltDecorationRules
Assets/Game/Scripts/Presentation/UI/Map/MapTextures.cs	173	1	0		MapTextures
Assets/Game/Scripts/Items/Artifacts/RuinScanner/RuinSecret.cs	171	0	0		RuinSecret
Assets/Game/Scripts/World/Caves/AlgaePulse.cs	136	0	0		AlgaePulse
Assets/Game/Scripts/Weapons/Firearms/EnergyRifle.cs	118	0	0		EnergyRifle
Assets/Game/Scripts/Agents/Modules/Cover/CoverModule.cs	114	0	0		CoverModule
Assets/Game/Scripts/Agents/Profiles/EntitySystemSetup.cs	114	0	0		EntitySystemSetup
Assets/Game/Scripts/Agents/Entity/EntityEquipmentController.cs	102	0	0		EntityEquipmentController
Assets/Game/Scripts/Agents/Modules/Cover/CoverPoint.cs	86	1	0		CoverPoint,CoverPointRegistry
Assets/Game/Scripts/Gameplay/Interaction/Interactions/LeverInteraction.cs	69	0	0		LeverInteraction
Assets/Game/Scripts/Characters/Player/Combat/LightningSpawner.cs	66	0	0		LightningSpawner
Assets/Game/Scripts/Presentation/UI/Map/MapMarker.cs	58	0	0		MapMarker
Assets/Game/Scripts/Agents/Modules/Facing/FacePlayerModule.cs	46	0	0		FacePlayerModule
Assets/Game/Scripts/Presentation/UI/LobbyMenu/Flow/StartingGameManager.cs	44	0	0		StartingGameManager
Assets/ThirdParty/Cosmic_Retro_Blasters Pack_1_FREE/Scifi-Gun/ReadMe.cs	31	0	0		
Assets/Game/Scripts/Agents/Modules/Combat/WeaponSelector.cs	31	0	0		WeaponSelector
Assets/Game/Scripts/Presentation/UI/LobbyMenu/Core/Entity.cs	28	0	0		Entity
Assets/Game/Editor/AssetPipeline/MeshReadablePostprocessor.cs	21	0	0		MeshReadablePostprocessor
Assets/Game/Scripts/Items/Equipped/weapon.cs	5	0	0		
