path	category	confidence	loc_or_bytes	evidence	risk
Assets/Game/Prefabs/Agents/Vehicles/Spacecraft/Ship.prefab	duplicate	high	331 lines / 10817 bytes	guid 4938ebdecf1e547a0ac42cc484c9e5d3 appears in 0 other files across a byte-scan of all 4418 text assets under Assets/ + ProjectSettings/ (refs.tsv agrees: refcount 0). Not in EditorBuildSettings, no Resources/ path, no Addressables in project, no string-literal "Ship" lookup in any .cs. Identical script set to Assets/Game/Prefabs/Legacy/Vehicles/Ship.prefab (MountModule, SteerModule, AgentController, RigidbodyMotor, InteractableProxy, Ship.fbx) and 0.803 line-similarity to it. Distinct from the LIVE Assets/Game/Prefabs/Vehicles/Ship.prefab, which is a 34640-line ProBuilder base with SpawnPoint/ShipInteraction/FMOD and 0.007 similarity.	If someone was mid-migration of the mountable ship into the Agents/Vehicles hierarchy, this is the destination copy and Legacy/ is the source. Keep exactly one of the two; deleting both loses the mountable-ship agent entirely.
Assets/Game/Prefabs/Legacy/Vehicles/Ship.prefab	duplicate	high	299 lines / 9903 bytes	guid 7ea3f1a07d10f435689447e2e5472d96 appears in 0 other files (full byte-scan of Assets/ + ProjectSettings/). Same script set and 0.803 similarity to Assets/Game/Prefabs/Agents/Vehicles/Spacecraft/Ship.prefab. Three prefabs named Ship.prefab exist; only Assets/Game/Prefabs/Vehicles/Ship.prefab (7 refs) is referenced.	Cross-scope (Prefabs/Legacy). Same caveat as above — this and the Spacecraft copy are the same asset; drop one, not both, unless the mountable ship is genuinely abandoned.
Assets/Game/Prefabs/Agents/Vehicles/Aircraft/Blimp.prefab	experiment	high	340 lines / prefab + 487 LOC stranded	guid d33ac27917a94aac82652cec4f25841c: 0 references in the full byte-scan. It is also the ONLY GUID reference to Assets/Game/Scripts/Agents/AI/Motors/FlyingRigidbodyMotor.cs (378 LOC) and Assets/Game/Scripts/Agents/Modules/Movement/AirWanderModule.cs (109 LOC) per refs.tsv, and `grep -rn --include=*.cs '\bFlyingRigidbodyMotor\b|\bAirWanderModule\b' Assets/` returns only their own declarations plus 6 comment mentions in other motors — zero code use.	Removing this prefab makes 487 LOC in the Agents scope unreachable, which is a win but must be coordinated with that auditor. If a flying-agent prototype is planned, this is the only worked example of the FlyingRigidbodyMotor + AirWanderModule pairing.
Assets/Game/Prefabs/Agents/Vehicles/Ground/Dune Rider.prefab	experiment	high	647 lines / prefab + 300 LOC stranded	guid 54a43b7a226440468f0106172f877315: 0 references in the full byte-scan. It is the ONLY GUID reference to Assets/Game/Scripts/Agents/Controller/DuneRiderController.cs (300 LOC) per refs.tsv, and grep for the type name across Assets returns only its own class declaration. Carries only DuneRiderController + MountModule — no motor, no AgentController — i.e. an abandoned one-off control scheme predating the AgentController stack.	Removing this makes DuneRiderController.cs (300 LOC, Agents scope) unreachable. If 'Dune Rider' is a planned vehicle, this is its only asset.
Assets/Game/Prefabs/Agents/Creatures/MountableAnt.prefab	superseded	high	472 lines / 15738 bytes	guid f62742d3949ca494a8efb8b58c71f89d: 0 references in the full byte-scan. Contains 4 script GUIDs (acdc445562c6e420c8ef8cec6ec54ffb, 434b1cb41931349a580b035d41199472, e03ab404b2c7f45b6930746c2df20c86, 5ab4e14ea8b148f7b3f4ef0a5fefac42) that resolve to NO .meta anywhere under Assets/, Packages/, or Library/PackageCache — i.e. 4 missing-script components. It uses the pre-migration AI stack (NpcBrain + WanderBehaviour) while the in-scope Assets/Game/Prefabs/Agents/Vehicles/Mounts/MountableAnt.prefab uses the current stack (AgentController + WanderModule + MountModule + SteerModule) and has 0 dangling GUIDs. 0.798 line-similarity between the two.	Cross-scope (Prefabs/Agents/Creatures). Low risk — it cannot load cleanly in its current state.
Assets/Game/Prefabs/Agents/Vehicles/Mounts/MountableAnt.prefab	unused-asset	medium	468 lines / 14800 bytes	guid e3a51fc05fd46456280c95494ea11d8a: 0 references in the full byte-scan. No string lookup, not under Resources/, no Addressables. It is the migrated/clean twin of the Creatures copy above.	Higher than the others: this is the one CLEAN copy of the mountable ant and the Ant.fbx it uses is still live in 3 chunk scenes. If mountable creatures are still on the roadmap, keep this one and delete the Creatures copy instead.
Assets/Game/Prefabs/Vehicles/Rover.prefab	superseded	high	3804 lines / ~140 KB	guid f043c5148c00b134ebf3f5909b5805e0: 0 references in the full byte-scan. Superseded by Assets/Game/Prefabs/Vehicles/RoverNoHierarchy.prefab, which references the same 22 Rover FBXs and adds WheelRotator, NavMeshAgentMotor and UnderTerrainGuard; RoverNoHierarchy is the one wired into Aleksander test scene.unity. Rover.prefab's root GameObject is misnamed 'ThingMount' and it has no WheelRotator at all.	None found — nothing references it and the newer prefab covers the same models.
Assets/Game/Scripts/Vehicles/Rover/ (whole folder) + Assets/Game/Prefabs/Vehicles/RoverNoHierarchy.prefab + Assets/Game/Art/Models/Vehicles/Rover/	experiment	medium	858 LOC + 1 prefab + 984 KB of FBX	5 .cs / 858 LOC. `grep -rn --include=*.cs '\bRoverController\b|\bRoverBogieIK\b|\bWheelRotator\b|\bRoverMovementController\b|\bWheelContact\b' Assets/` returns ZERO hits outside Assets/Game/Scripts/Vehicles/Rover/ — the subsystem is fully self-contained. Per refs.tsv the only asset entry point is RoverNoHierarchy.prefab, whose sole referencer is Assets/Game/Scenes/Tests/Aleksander test scene.unity. Each of the 22 FBXs under Art/Models/Vehicles/Rover (984 KB) has exactly 2 refs = the two Rover prefabs and nothing else.	'Aleksander test scene.unity' IS enabled in ProjectSettings/EditorBuildSettings.asset (index 5), so this currently ships in builds. Removal is conditional on that dev scene being dropped — coordinate with the scenes auditor. If the Rover is still a wanted vehicle it needs a rewrite, not preservation (see the two verified bugs below).
Assets/Game/Scripts/Vehicles/Rover/Core/RoverBogieIK.cs:220-450	dead-code	high	~230 LOC of 452	`UpdateBogieIK()` has zero callers: grep across all of Assets/ finds only its own declaration at line 220. Everything it reaches is therefore unreachable — SampleWheelGround, UpdateDebugGroundState, DrawDebug, DrawContact, the private readonly struct WheelContact, and the public props HasGroundContact / LastGroundPoint / LastGroundNormal / Wheel (all 0 refs, confirmed by a member-level scan of every .cs in Assets/). The entire [Header("Raycast Grounding")] block (groundMask, rayStartHeight, raycastDistance, wheelGroundOffset) and [Header("Debug")] drawDebug feed nothing else — drawDebug is serialized as 1 on 3 components in RoverNoHierarchy.prefab and 3 in Rover.prefab and has no effect.	None if UpdateBogieIK is genuinely abandoned; the class's live half (InitializePhysics building ConfigurableJoints) is untouched by this cut.
Assets/Game/Scripts/Vehicles/Rover/Core/RoverBogieIK.cs:263-267	dead-code	high	5 LOC + 1 call site	`private void AutoAssignJoints(Transform[] all)` has an empty body and the comment '// Joints are no longer used in physics-based approach / // Kept for compatibility'. Its only caller is AutoSetupFromChildren (line 97). Self-documented leftover of an abandoned approach.	None — the method does nothing.
